u,v,key,osmid,highway,oneway,service,reversed,length,grade,grade_abs,slope_pct,walk_speed_kmh,walk_time_s,walk_time_min,elev_u,elev_v,elev_gain_m,elev_loss_m,lanes,maxspeed,name,ref,access,bridge,width,junction,tunnel
245018028,12216707740,0,388857956,service,False,driveway,False,10.972860992530535,0.0,0.0,0.0,5.036742124615245,7.842827485659194,0.13071379142765324,426.8715057373047,426.8715057373047,0.0,0.0,,,Località Maso Cantanghel,,,,,,
301566592,245018028,0,1178258840,tertiary,False,,True,10.739986304481466,0.0,0.0,0.0,5.036742124615245,7.6763808310092525,0.12793968051682086,426.8715057373047,426.8715057373047,0.0,0.0,,,Strada al Forte,SP17,,,,,
301566592,5639538435,0,426809398,tertiary,False,,False,224.7268854319373,0.0,0.0,0.0,5.036742124615245,160.6230312251245,2.6770505204187414,426.8715057373047,426.8715057373047,0.0,0.0,,,,SP17,,,,,
301566592,8760540911,0,"[27464957, 469722230]","['track', 'service']",False,,True,21.31281550644953,0.0,0.0,0.0,5.036742124615245,15.233286502449122,0.25388810837415204,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
12216707740,3920435440,0,388857956,service,False,driveway,False,22.155029068852052,0.0,0.0,0.0,5.036742124615245,15.835256734324092,0.2639209455720682,426.8715057373047,426.8715057373047,0.0,0.0,,,Località Maso Cantanghel,,,,,,
12216707740,245018028,0,388857956,service,False,driveway,True,10.972860992530535,0.0,0.0,0.0,5.036742124615245,7.842827485659194,0.13071379142765324,426.8715057373047,426.8715057373047,0.0,0.0,,,Località Maso Cantanghel,,,,,,
12216707740,9632227426,0,1047509869,track,False,,False,55.107972901910856,0.0,0.0,0.0,5.036742124615245,39.388298534746596,0.6564716422457766,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
246693823,13173229823,0,24862548,pedestrian,False,,False,4.7864940171392405,0.0,0.0,0.0,5.036742124615245,3.4211357332528847,0.05701892888754808,426.8715057373047,426.8715057373047,0.0,0.0,,,Ponte Lodovico,,,,,,
13173229823,928538827,0,24862548,pedestrian,False,,False,4.386820388226503,0.0,0.0,0.0,5.036742124615245,3.1354699142596663,0.05225783190432777,426.8715057373047,426.8715057373047,0.0,0.0,,,Ponte Lodovico,,,,,,
13173229823,246693823,0,24862548,pedestrian,False,,True,4.7864940171392405,0.0,0.0,0.0,5.036742124615245,3.4211357332528847,0.05701892888754808,426.8715057373047,426.8715057373047,0.0,0.0,,,Ponte Lodovico,,,,,,
13173229823,13173229822,0,1433303615,service,False,,False,10.158907884153862,0.0,0.0,0.0,5.036742124615245,7.261056349147046,0.12101760581911744,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
13173229823,3134332986,0,1433303615,service,False,,True,48.58933920025542,0.0,0.0,0.0,5.036742124615245,34.72911989399928,0.578818664899988,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
246699013,9530307351,0,22985081,residential,False,,True,4.927124532872826,0.0,0.0,0.0,5.036742124615245,3.5216510751376116,0.058694184585626856,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,,,
246699013,11148196090,0,209650337,steps,False,,True,115.8612396814588,0.0,0.0,0.0,5.036742124615245,82.81155805353325,1.3801926342255542,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,,,
246699013,1937993549,0,574541265,service,False,,False,64.09723748371987,0.0,0.0,0.0,5.036742124615245,45.813354988671065,0.763555916477851,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,,,
9530307351,246699013,0,22985081,residential,False,,False,4.927124532872826,0.0,0.0,0.0,5.036742124615245,3.5216510751376116,0.058694184585626856,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,,,
9530307351,794192648,0,"[22985081, 30791978, 65221859, 30791977]",residential,False,,"[False, True]",157.77834893999756,0.0,0.0,0.0,5.036742124615245,112.77171674286993,1.8795286123811654,426.8715057373047,426.8715057373047,0.0,0.0,,50,Salita Filippo Manci,,,yes,,,
9530307351,11148196091,0,1034551587,pedestrian,False,,False,126.87669375960171,0.0,0.0,0.0,5.036742124615245,90.68482885044618,1.511413814174103,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,4,,
11148196090,11148196091,0,1202533617,service,False,driveway,True,3.0938457685270286,0.0,0.0,0.0,5.036742124615245,2.2113192399239856,0.03685532066539976,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
11148196090,246699013,0,209650337,steps,False,,False,115.8612396814588,0.0,0.0,0.0,5.036742124615245,82.81155805353325,1.3801926342255542,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,,,
11148196090,11148196088,0,209650337,steps,False,,True,37.808968637105224,0.0,0.0,0.0,5.036742124615245,27.023874505780142,0.45039790842966904,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,,,
11148196090,853802646,0,1202533617,service,False,driveway,False,5.285193470890637,0.0,0.0,0.0,5.036742124615245,3.777580035757685,0.06295966726262808,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
1937993549,246699013,0,574541265,service,False,,True,64.09723748371985,0.0,0.0,0.0,5.036742124615245,45.81335498867106,0.7635559164778509,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,,,
246699017,794192384,0,24744096,pedestrian,False,,False,55.27092004552283,0.0,0.0,0.0,5.036742124615245,39.504764635747925,0.6584127439291321,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Giangrisostomo Tovazzi,,,,,,
246699017,794192648,0,30791977,residential,False,,True,64.8031869022162,0.0,0.0,0.0,5.036742124615245,46.317930733013135,0.7719655122168856,426.8715057373047,426.8715057373047,0.0,0.0,,50,Salita Filippo Manci,,,,,,
794192384,910573057,0,24744096,pedestrian,False,,False,73.07540953814289,0.0,0.0,0.0,5.036742124615245,52.230483083826805,0.8705080513971134,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Giangrisostomo Tovazzi,,,,,,
794192384,246699017,0,24744096,pedestrian,False,,True,55.270920045522836,0.0,0.0,0.0,5.036742124615245,39.50476463574793,0.6584127439291322,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Giangrisostomo Tovazzi,,,,,,
794192384,794192648,0,183428426,steps,False,,True,13.03633116921343,0.0,0.0,0.0,5.036742124615245,9.317688110298754,0.15529480183831257,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
794192648,246699017,0,30791977,residential,False,,False,64.8031869022162,0.0,0.0,0.0,5.036742124615245,46.317930733013135,0.7719655122168856,426.8715057373047,426.8715057373047,0.0,0.0,,50,Salita Filippo Manci,,,,,,
794192648,9530307351,0,"[30791977, 30791978, 65221859, 22985081]",residential,False,,"[False, True]",157.77834893999753,0.0,0.0,0.0,5.036742124615245,112.7717167428699,1.879528612381165,426.8715057373047,426.8715057373047,0.0,0.0,,50,Salita Filippo Manci,,,yes,,,
794192648,794192384,0,183428426,steps,False,,False,13.036331169213428,0.0,0.0,0.0,5.036742124615245,9.317688110298752,0.15529480183831254,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
246699018,248009015,0,209650337,steps,False,,False,82.48864577078857,1.5,1.5,150.0,0.5,593.9182495496776,9.898637492494627,295.12799072265625,426.8715057373047,131.74351501464844,0.0,,,Salita Filippo Manci,,,,,,
246699018,1847094948,0,"[574541252, 824607052]",footway,False,,False,13.916814203778465,0.04526933201719769,0.04526933201719769,4.526933201719769,4.298717864399766,11.654761422822071,0.1942460237137012,295.12799072265625,295.75799560546875,0.6300048828125,0.0,,,,,,,,,
246699018,928539165,0,744668213,footway,False,,True,198.92529346949826,-0.07090100841506414,0.07090100841506414,-7.0901008415064135,5.576748719246956,128.41372142492642,2.1402286904154404,295.12799072265625,281.02398681640625,0.0,14.10400390625,,,,,,,,,
246699018,7699932790,0,824607053,footway,False,,False,40.12493142498833,1.5,1.5,150.0,0.5,288.899506259916,4.8149917709986,295.12799072265625,426.8715057373047,131.74351501464844,0.0,,,,,,,,,
248009015,11148196088,0,209650337,steps,False,,False,32.25606515694081,0.0,0.0,0.0,5.036742124615245,23.054949348604467,0.38424915581007446,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,,,
248009015,246699018,0,209650337,steps,False,,True,82.48864577078857,-1.5,1.5,-150.0,0.5,593.9182495496776,9.898637492494627,426.8715057373047,295.12799072265625,0.0,131.74351501464844,,,Salita Filippo Manci,,,,,,
248009015,11148196089,0,1034551587,pedestrian,False,,True,31.72046415962436,0.0,0.0,0.0,5.036742124615245,22.672129751604253,0.3778688291934042,426.8715057373047,426.8715057373047,0.0,0.0,,,Salita Filippo Manci,,,,4,,
1847094948,247850091,0,308149053,service,False,,False,6.256679391815463,-0.03356276419610388,0.03356276419610388,-3.3562764196103876,5.664559560168598,3.9763101740367732,0.06627183623394622,295.75799560546875,295.5480041503906,0.0,0.209991455078125,,,,,,,,,
1847094948,7699932790,0,308149053,service,False,,True,16.353314575347536,1.5,1.5,150.0,0.5,117.74386494250226,1.9623977490417042,295.75799560546875,426.8715057373047,131.11351013183594,0.0,,,,,,,,,
