service_row,service_name,service_address,rank,score,poi_name,poi_address,latitude,longitude,poi_source
12,Bar In Centro,P.zza Manci n. 9 ,3,74.14,bar salè,Via Salè,46.06399329572866,11.158128573701859,foursquare_povo.geojson
12,Bar In Centro,P.zza Manci n. 9 ,4,73.5,Bar e mensa Polo Scientifico e Tecnologico Fabio Ferrari,Via Sommarive,46.066773434293026,11.15008605341814,foursquare_povo.geojson
13,Bar Al Canton,P.zza Manci n. 21,1,74.73,Bar di Ingegneria dell'Università degli Studi di Trento,Via Mesiano 77,46.06636727452834,11.140654413991328,foursquare_povo.geojson
13,Bar Al Canton,P.zza Manci n. 21,2,74.14,bar renè,Via Salè,46.070541595471816,11.15146832357654,foursquare_povo.geojson
13,Bar Al Canton,P.zza Manci n. 21,3,74.14,bar salè,Via Salè,46.06399329572866,11.158128573701859,foursquare_povo.geojson
13,Bar Al Canton,P.zza Manci n. 21,4,73.5,Bar e mensa Polo Scientifico e Tecnologico Fabio Ferrari,Via Sommarive,46.066773434293026,11.15008605341814,foursquare_povo.geojson
13,Bar Al Canton,P.zza Manci n. 21,5,72.69,Caffè Osteria Canton,Via della Resistenza 21,46.066236815160984,11.155429882095595,foursquare_povo.geojson
14,OFFICINA MECCANICA ELETTRAUTO GOMMISTA,"VIA SOMMARIVE, 2",1,98.21,Officina Meccanina Elettrauto Gommista,Via Sommarive 2,46.063956,11.150402,commercio_e_servizi_di_prossimita.csv
14,OFFICINA MECCANICA ELETTRAUTO GOMMISTA,"VIA SOMMARIVE, 2",2,90.14,Laboratorio di Meccanica,Sommarive,46.068050050378574,11.149449348449707,foursquare_povo.geojson
15,Pane e non solo,"Via Don Dallafior, 2",1,84.0,Pane… E Non Solo,None,46.065756452401104,11.154204662177454,foursquare_povo.geojson
15,Pane e non solo,"Via Don Dallafior, 2",2,78.0,AB Cartocopisteria SNC di Ivan Andreolli e Ermann Bisesti,Via della Resistenza 4,46.06623848182548,11.156135008597436,foursquare_povo.geojson
15,Pane e non solo,"Via Don Dallafior, 2",3,78.0,AB Cartocopisteria SNC Cartoleria e Copisteria,Via della Resistenza 4,46.066187964360154,11.156186682751121,foursquare_povo.geojson
15,Pane e non solo,"Via Don Dallafior, 2",4,74.98,Bar e mensa Polo Scientifico e Tecnologico Fabio Ferrari,Via Sommarive,46.066773434293026,11.15008605341814,foursquare_povo.geojson
15,Pane e non solo,"Via Don Dallafior, 2",5,74.84,Dipartimento di Ingegneria e Scienza dell'Informazione,Via Sommarive 9,46.066919004416974,11.150289004967364,foursquare_povo.geojson
16,Gelateria Dolomeis,Piazza G: Manci,1,76.62,Gelateria Peterle,Piazza Giannantonio Manci,46.06619208310082,11.154869782406873,foursquare_povo.geojson
17,CENTRO ESTETICO,"VIA DELLA RESISTENZA, 25",1,100.0,Centro Estetico,Via della Resistenza 25,46.066208,11.155608,commercio_e_servizi_di_prossimita.csv
17,CENTRO ESTETICO,"VIA DELLA RESISTENZA, 25",2,74.78,Sala Multiuso 2 presso Centro civico,Via Don T. Dallafior 5,46.064937,11.153418,cultura_socialita_e_spazi_comuni.csv
18,Pizzeria Orostube,"Via Sommarive, 10",1,100.0,Orostube,"Via Sommarive, 10",46.06474924527674,11.150489113549739,foursquare_povo.geojson
19,Pizza Rio,Via della Resistenza 9/A,1,100.0,Pizza Rio,"Via della Resistenza, 9",46.06630802763667,11.154953132785442,foursquare_povo.geojson
