stop_cluster_id,stop_name,stop_ids,feed_sources,linee_urbane,linee_extraurbane,passaggi_urbani,passaggi_extraurbani,frequenza_urbana_min,frequenza_extraurbana_min,passaggi_totali,tipo_servizio,graph_node,snap_dist_m
85,Isera Via Rosina,2231,urbano,5,,10,0,80.0,,10,urbano,3697374573,19713.732675283216
86,Isera Via Rosina,2232,urbano,5,,10,0,80.0,,10,urbano,3697374573,19677.24855337095
87,Isera Cimitero,"2233,2234",urbano,5,,20,0,80.0,,20,urbano,3697374573,19552.253850319288
88,Marano,"2238,2239",urbano,5,,20,0,80.0,,20,urbano,3697374573,18738.20689623984
89,Nogaredo Scuole Elementari,"2259,2260",urbano,5,,18,0,80.0,,18,urbano,3697374573,17260.921610665897
90,Villa Lagarina Via Marconi,2261,urbano,5,,9,0,80.0,,9,urbano,3697374573,16447.630433801536
91,Villa Lagarina Via Marconi,2262,urbano,5,,9,0,80.0,,9,urbano,3697374573,16501.689694784964
92,Piazza Filzi Via Del Porto,"2273,2999",urbano,5,,20,0,80.0,,20,urbano,3697374573,19668.705271830626
93,Via Fedrigotti Chiesa,2311,urbano,5,,10,0,80.0,,10,urbano,3697374573,19542.86395642983
94,Villa Lagarina Via Magrè,"2333,2334",urbano,5,,18,0,80.0,,18,urbano,3697374573,15986.30009688969
95,Povo Pantè,"2490,2820",urbano,5,,23,0,62.72727272727273,,23,urbano,7661335606,8.039822014854789
96,Isera P.Zza S.Vincenzo-O.,"2511,2686",urbano,5,,20,0,80.0,,20,urbano,3697374573,19959.19965924693
97,"Verona ""Big Center""","2537,2538",urbano,13,,40,0,40.10526315789474,,40,urbano,8917536641,737.0233897272233
98,Povo Sommarive,2682,urbano,5,,11,0,63.3,,11,urbano,533341769,27.568715206473332
99,Viale Vittoria Scuole Degasperi,2758,urbano,5,,10,0,80.0,,10,urbano,3697374573,19321.26752011553
100,"Povo ""Polo Scientifico"" Ovest",2833,urbano,5,,16,0,43.4,,16,urbano,6949776503,19.859147587340384
101,"Venezia ""Port'aquila""",2927,urbano,5,,39,0,19.55263157894737,,39,urbano,11140398144,590.7772353064516
102,Galassa De Riccabona,"3133,3134",urbano,13,,78,0,20.07894736842105,,78,urbano,7040597269,799.8897026814723
103,Ponte Alto,"579,611",extraurbano,,"B103,B116,B401,B402,B403",0,68,,21.727272727272727,68,extraurbano,266156629,3.9446906287513066
104,Trento. Bellevue,"3109,6325",extraurbano,,"B303,B450",0,32,,41.05555555555556,32,extraurbano,9530471056,24.925055032335973
