cluster_v3,profilo_cluster_v3,profilo_pubblico,popolazione_rif,famiglie_rif,abitazioni_rif,dislivello_sezione_m,servizi_5_min,servizi_15_min,tempo_associazioni_min,tempo_cultura_min,tempo_ristorazione_min,tempo_attivita_economiche_min,tempo_fermata_min,passaggi_totali
3,centralita_servita,Centralità locale ben servita,104.0,48.0,56.0,20.157989501953125,5,27,13.101618200635842,5.251716795637725,4.9998037469766,1.5359420755879138,1.7569476687130545,94.0
1,nucleo_residenziale,Nucleo prevalentemente residenziale,26.0,14.0,17.0,480.10198974609375,0,0,42.10465852772893,40.56605813531022,38.91980351082815,32.3244441933033,18.138735932434702,9.0
3,centralita_servita,Centralità locale ben servita,80.0,35.0,43.0,11.462982177734375,2,26,15.141955969703213,7.292054564705094,1.5591371553424835,4.755236403798621,2.1350882123091113,94.0
1,nucleo_residenziale,Nucleo prevalentemente residenziale,63.0,21.0,48.0,151.00900268554688,0,15,19.50143139295812,11.651529987960002,5.310873740709999,9.11471182705353,6.4945636355640195,94.0
4,area_mista_di_transizione,Area mista e di transizione,11.0,4.0,6.0,130.1199951171875,0,0,39.96402840947345,45.783088957563685,24.946171805924823,43.01527882466703,5.641564093614308,37.0
1,nucleo_residenziale,Nucleo prevalentemente residenziale,14.0,6.0,11.0,205.04598999023438,0,28,12.410128494975343,10.940810721303727,9.225273478074564,8.256330810489478,7.728134055920169,77.0
3,centralita_servita,Centralità locale ben servita,140.0,70.0,104.0,21.02899169921875,23,29,5.335981376903636,2.3027342654729255,1.4802659500557425,0.2981451115688816,0.7998705664384027,154.0
1,nucleo_residenziale,Nucleo prevalentemente residenziale,267.0,120.0,125.0,,0,1,23.050978162276486,29.74563073757043,14.916256228571866,26.10222857747007,1.757928892665171,68.0
4,area_mista_di_transizione,Area mista e di transizione,15.0,7.0,10.0,54.264007568359375,0,0,,,,,,
1,nucleo_residenziale,Nucleo prevalentemente residenziale,92.0,42.0,50.0,26.635009765625,0,12,19.862125754519106,13.838993177661736,13.633027316334868,10.264453211401662,10.390171238071323,94.0
